message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,Trusted sender update - useful but non-urgent information,0.8338,message_0243
msg_091,mute,scam,Low trust sender with no prior positive interactions,0.85,message_0238
msg_090,digest,unknown,Casual greeting message - no immediate action required,0.8385,none
msg_048,mute,payment,Detected scam/phishing pattern with suspicious verification or OTP request,0.81,message_0151;message_0152;message_0237
msg_040,mute,greeting,Message forwarded 7 times - likely spam chain content,0.83,message_0136
msg_075,notify,business_update,Important message from highly trusted sender,0.9001,message_0205
msg_005,digest,promotion,Trusted sender update - useful but non-urgent information,0.8219,message_0382;message_0065
msg_104,mute,personal,Low trust sender with no prior positive interactions,0.8667,message_0383;message_0050
msg_069,mute,greeting,Message forwarded 11 times - likely spam chain content,0.85,message_0042;message_0080;message_0193
msg_107,mute,scam,Message forwarded 1 times - likely low-value chain content,0.81,message_0369
msg_070,mute,scam,Detected scam/phishing pattern with suspicious verification or OTP request,0.85,message_0369;message_0045;message_0023
msg_003,notify,business_update,Important message from highly trusted sender,0.9036,message_0031;message_0400;message_0061
msg_099,notify,personal,Important message from highly trusted sender,0.9055,message_0227
msg_008,digest,promotion,Trusted sender update - useful but non-urgent information,0.8388,message_0296;message_0072;message_0071
msg_092,notify,payment,Payment notification requiring immediate attention,0.8897,message_0346;message_0344
msg_060,notify,promotion,Important message from highly trusted sender,0.8882,message_0176;message_0284;message_0404
msg_004,notify,event,Event invitation or schedule notification,0.9017,message_0005;message_0245;message_0064
msg_030,mute,promotion,Message forwarded 3 times - likely low-value chain content,0.81,message_0115;message_0335;message_0050
msg_045,notify,urgent,Time-sensitive message with specific deadline or constraint,0.9087,none
msg_052,mute,payment,Message forwarded 2 times - likely low-value chain content,0.81,message_0207;message_0208;message_0159
msg_009,digest,personal,Trusted sender update - useful but non-urgent information,0.8388,message_0074
msg_071,digest,personal,Trusted sender update - useful but non-urgent information,0.8336,none
msg_016,mute,scam,Detected scam/phishing pattern with suspicious verification or OTP request,0.81,message_0024
msg_065,mute,promotion,Low trust sender with no prior positive interactions,0.8553,message_0261
msg_038,mute,forward,Message forwarded 10 times - likely spam chain content,0.85,message_0132;message_0131
msg_086,notify,urgent,High-priority urgent message requiring notification,0.9019,none
msg_014,mute,promotion,Low trust sender with no prior positive interactions,0.81,message_0017;message_0018;message_0258
