message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,"Non-urgent business update for later review from business account: Important Information Dear Customer, Your latest account or card payment update...",0.8967,message_0243;message_0102;message_0101
msg_091,mute,scam,Potential scam or router-manipulation attempt blocked from u_049,0.85,message_0238
msg_090,digest,unknown,"Casual greeting with no action required from u_050: Hi, is this Arun from Bluebell Apartments? I got this number from the courier...",0.95,none
msg_048,mute,scam,Scam/phishing pattern detected with suspicious verification request in group chat,0.81,message_0151;message_0152;message_0237
msg_040,mute,greeting,Chain content forwarded 7 times — repetitive low-value message in group chat,0.83,message_0136;message_0135
msg_075,notify,business_update,Important business update from business account: Ride update Your pickup or route status has changed. Please check the latest...,0.835,message_0205;message_0206
msg_005,digest,personal,Trusted sender update — useful but no action needed now in group chat: I kept the blue denim jacket aside for you. Can you collect it from Gate 2 by 6...,0.6988,message_0382;message_0065;message_0231
msg_104,mute,personal,"Low-trust sender with no positive interaction history from u_048: Hi, I kept the blue denim jacket aside for you. Can you collect it from Gate 2...",0.9454,message_0383;message_0050;message_0232
msg_069,mute,greeting,Chain content forwarded 11 times — repetitive low-value message in group chat,0.85,message_0042;message_0193;message_0080
msg_107,mute,scam,Blocked by security guardrail: prompt injection or router-manipulation attempt detected.,0.99,none
msg_070,mute,scam,Scam/phishing pattern detected with suspicious verification request in group chat,0.85,message_0369;message_0213;message_0056
msg_003,notify,business_update,"Important business update from business account: Hi Customer, Your order ending 4821 has been packed and is expected to reach...",0.8926,message_0031;message_0400;message_0061
msg_099,digest,personal,Trusted sender update — useful but no action needed now from u_046: I added a few notes on tomorrow's dashboard review. Nothing blocking for...,0.82,message_0227;message_0249
msg_008,digest,business_update,"Non-urgent business update for later review from business account: Dear Customer, Now that you have the Hoop Pain Relief Roll On, can you fill a...",0.95,message_0296;message_0072;message_0071
msg_092,notify,payment,"Payment notification requiring attention from business account: Dear Customer, Your monthly card statement is ready. Please review the amount...",0.661,message_0346;message_0344
msg_060,notify,promotion,Message from trusted sender requiring attention in group chat: Reminder from Faculty Advising: internship approval forms close at 5 PM today....,0.6359,message_0176;message_0284;message_0404
msg_004,notify,event,"Event or schedule update needing action from business account: Dear Customer, Your health-related update is ready for review. Please check...",0.8619,message_0245;message_0005;message_0064
msg_030,mute,promotion,"Forwarded 3 times with no personal context in group chat: Selling a barely used Myntra kurta set, size M. Bought last month and worn...",0.81,message_0115;message_0335;message_0050
msg_045,notify,urgent,"Time-critical message requiring immediate action in group chat: Hi, I am at your gate with the Amazon package. Security is not allowing entry...",0.95,message_0146
msg_052,mute,scam,"Forwarded 2 times with no personal context from business account: Refund update Dear Customer, Your food order refund could not be processed...",0.92,message_0208;message_0207;message_0159
msg_009,digest,personal,Sender explicitly indicated non-urgent — safe for later review in group chat: Cricket highlights tonight? I will start a thread after dinner if people are...,0.82,message_0074
msg_071,digest,personal,"Trusted sender update — useful but no action needed now in group chat: Kal milte hain... shayad doctor ya dinner ka plan bol rahe hain, exact time...",0.8934,message_0197
msg_016,mute,scam,Scam/phishing pattern detected with suspicious verification request in group chat,0.81,message_0024
msg_065,mute,promotion,Promotional content filtered as low priority from business account: You just dropped something... A limited shopping benefit is available on items...,0.7542,message_0261;message_0185;message_0186
msg_038,mute,forward,Chain content forwarded 10 times — repetitive low-value message in group chat,0.85,message_0132;message_0131
msg_086,notify,business_update,Important business update from business account: your airport pickup for tomorrow has moved to six fifteen am the driver and...,0.8644,message_0222
msg_014,mute,promotion,Promotional message from sender user typically dismisses (100% dismiss rate) from business account,0.81,message_0017;message_0258;message_0018
msg_094,mute,promotion,Promotional message from sender user typically dismisses (100% dismiss rate) from business account,0.81,message_0356
msg_029,mute,promotion,Chain content forwarded 8 times — repetitive low-value message in group chat,0.83,message_0113;message_0332;message_0401
msg_105,mute,forward,Chain content forwarded 7 times — repetitive low-value message from u_051,0.83,message_0233;message_0373
msg_002,notify,urgent,Time-critical message requiring immediate action in group chat: @u_010 can you call before the client meeting? Need literally 2 mins on the...,0.86,message_0266;message_0003;message_0041
msg_010,digest,business_update,"Non-urgent business update for later review from business account: Thank you for choosing PVR Cinemas, We would love to hear about your experience...",0.95,message_0011;message_0242;message_0075
msg_078,mute,promotion,Chain content forwarded 10 times — repetitive low-value message in group chat,0.85,message_0211
msg_013,mute,promotion,Promotional message from sender user typically dismisses (67% dismiss rate) in group chat,0.95,none
msg_018,mute,forward,Chain content forwarded 9 times — repetitive low-value message in group chat,0.83,message_0091
msg_044,mute,scam,Scam/phishing pattern detected with suspicious verification request from group admin,0.81,message_0143
msg_032,digest,personal,"Sender explicitly indicated non-urgent — safe for later review from group admin: Anyone from CS lab section B able to share Prof. Chen's review slides? No rush,...",0.82,message_0119
msg_106,notify,personal,"Time-sensitive update with deadline from u_054: Dance practice moved to Studio B today. Front gate is locked, so come through...",0.95,message_0234;message_0376
msg_006,notify,event,Event or schedule update needing action from group admin: Maintenance closes at 5 PM today. Please use the society app or the office QR...,0.95,message_0029;message_0044;message_0067
msg_109,mute,scam,Blocked by security guardrail: prompt injection or router-manipulation attempt detected.,0.99,none
msg_108,mute,scam,Blocked by security guardrail: prompt injection or router-manipulation attempt detected.,0.99,none
msg_019,mute,scam,Scam/phishing pattern detected with suspicious verification request from business account,0.92,message_0094
msg_088,mute,business_update,Low-trust sender with no positive interaction history in group chat: i have kept the blue jacket aside for you if you still want it please confirm...,0.95,message_0224;message_0232;message_0383
msg_056,notify,event,Time-sensitive update with deadline from group admin: @u_001 doctor appointment moved to 6 PM because the clinic called just now....,0.87,message_0226;message_0054
msg_027,digest,promotion,Promotional content from opted-in source — review when convenient from business account: When did a trip last change something about how you see yourself? Ladakh is...,0.8708,message_0272;message_0033;message_0007
msg_050,notify,event,"Event or schedule update needing action from business account: Dear Customer, Your health-related update is ready for review. Please check...",0.95,message_0279;message_0155
msg_083,digest,personal,Sender explicitly indicated non-urgent — safe for later review in group chat: can you check the onboarding doc tomorrow morning nothing urgent i just want...,0.82,message_0219
msg_063,mute,scam,Potential scam or router-manipulation attempt blocked in group chat,0.85,none
msg_033,mute,personal,"Low-value content muted in group chat: Good morning beta, have a good day. Call me later when free, nothing urgent....",0.81,message_0121
msg_061,mute,greeting,Chain content forwarded 8 times — repetitive low-value message in group chat,0.83,message_0080;message_0042;message_0193
msg_020,mute,forward,Forwarded 2 times with no personal context in group chat: Urgent document: bit.ly/verify-quick. Open today and complete pending account...,0.81,none
msg_017,mute,payment,Low-trust sender with no positive interaction history in group chat: Scan and pay pending charge now. Service stops today if clearance amount is not...,0.95,none
msg_058,mute,forward,Chain content forwarded 10 times — repetitive low-value message from group admin,0.85,message_0039;message_0241;message_0040
msg_026,mute,scam,Potential scam or router-manipulation attempt blocked from business account,0.92,message_0032;message_0107
msg_047,notify,event,Event or schedule update needing action in group chat: Lift maintenance starts at 4 PM today. Use service lift from basement till...,0.95,message_0068;message_0098;message_0029
msg_046,mute,scam,Scam/phishing pattern detected with suspicious verification request in group chat,0.95,message_0148;message_0147
msg_042,notify,urgent,Time-critical message requiring immediate action in group chat: Security alert: main gate closes in 10 mins for repair truck entry. Please move...,0.837,message_0140;message_0058
msg_079,mute,scam,Potential scam or router-manipulation attempt blocked in group chat,0.85,message_0369;message_0053;message_0045
msg_098,digest,event,Event information without immediate deadline from u_041: Call me now if you can. The clinic is asking whether we should wait for the...,0.5761,message_0359;message_0168;message_0226
msg_037,notify,urgent,"Time-critical message requiring immediate action from group admin: tank aa gaya, jaldi bucket le aao. Driver bol raha hai 10 min me nikalna...",0.87,message_0410;message_0001
msg_007,digest,personal,Sender explicitly indicated non-urgent — safe for later review in group chat: Society potluck update: registrations are open till next Sunday. Add your flat...,0.82,message_0070
msg_085,mute,scam,Scam/phishing pattern detected with suspicious verification request from business account,0.92,message_0221
msg_001,notify,urgent,"Time-critical message requiring immediate action in group chat: Tower B - tanker is leaving in 20 mins. Motor room valve is still open, so if...",0.87,message_0057;message_0139;message_0240
msg_021,notify,payment,"Payment notification requiring attention from group admin: Payment due today. Complete before 5 PM. If already paid, ignore; receipts will...",0.95,message_0410
