message_id,action,message_type,reason,confidence,evidence_message_ids
sample_msg_001,notify,urgent,"Time-critical message requiring immediate action from group admin: Tower B folks, quick heads-up. The tanker guy is saying he can wait maybe 20...",0.87,message_0129;message_0149;message_0189
sample_msg_002,notify,event,"Time-sensitive update with deadline from group admin: Route B parents, small change for today. Bus is leaving 15 mins early because...",0.87,message_0133;message_0209;message_0002
sample_msg_003,notify,urgent,"Direct mention requesting response in group chat: @u_010 prod review got pulled to 3, sorry for the last-minute shuffle. Can you...",0.86,message_0003;message_0170;message_0169
sample_msg_004,notify,business_update,"Important business update from business account: Hi Customer, Your order ending 4821 has been packed and is expected to reach...",0.9008,message_0239;message_0004;message_0105
sample_msg_005,notify,event,"Event or schedule update needing action from business account: Dear Customer, Your health-related update is ready for review. Please check...",0.892,message_0245;message_0005;message_0064
sample_msg_006,notify,personal,"Time-sensitive update with deadline in group chat: @u_004 when you get 5 mins can you call? Nothing dramatic, just checking if...",0.86,message_0363
sample_msg_007,digest,promotion,Promotional content from opted-in source — review when convenient from business account: When did a trip last change something about how you see yourself? Ladakh is...,0.9054,message_0272;message_0033;message_0007
sample_msg_008,digest,personal,Sender explicitly indicated non-urgent — safe for later review in group chat: Cultural night form is open till next Sunday. Add flat no and item or dish in...,0.82,message_0008
sample_msg_009,digest,personal,"Sender explicitly indicated non-urgent — safe for later review in group chat: Good morning everyone. Group has been quiet, so just saying hope today is...",0.82,message_0009
sample_msg_010,digest,personal,Sender explicitly indicated non-urgent — safe for later review in group chat: Anyone watching the match tonight? I might start the score thread after dinner....,0.82,message_0010
sample_msg_011,digest,business_update,"Non-urgent business update for later review from business account: Thank you for choosing PVR Cinemas, We would love to hear about your experience...",0.95,message_0011;message_0242;message_0075
sample_msg_012,digest,promotion,"Promotional content from opted-in source — review when convenient in group chat: Selling cycle helmet, medium size. Bought last year, no crash damage, just not...",0.95,message_0012
sample_msg_013,mute,greeting,Chain content forwarded 6 times — repetitive low-value message from group admin,0.83,message_0014;message_0013;message_0077
sample_msg_014,mute,forward,Chain content forwarded 11 times — repetitive low-value message in group chat,0.85,message_0016
sample_msg_015,mute,promotion,"Forwarded 3 times with no personal context from business account: New here? 50% Off Won't Wait! Welcome! Get 50% off with TRY50. But hurry, it...",0.81,message_0017;message_0258;message_0018
sample_msg_019,mute,scam,Scam/phishing pattern detected with suspicious verification request in group chat,0.85,none
sample_msg_020,mute,scam,Scam/phishing pattern detected with suspicious verification request in group chat,0.85,message_0024;message_0087;message_0183
sample_msg_041,digest,unknown,Non-urgent update for later review in group chat: (media message),0.95,none
sample_msg_042,notify,urgent,High-priority urgent message in group chat: (media message),0.8464,none
sample_msg_043,mute,scam,Potential scam or router-manipulation attempt blocked from business account,0.92,none
sample_msg_044,digest,promotion,Promotional content from opted-in source — review when convenient in group chat: Photos for the kurta set are attached. Pickup is near Gate 2 this weekend.,0.9308,message_0401;message_0066;message_0332
sample_msg_045,mute,promotion,Promotional message from sender user typically dismisses (100% dismiss rate) in group chat,0.95,message_0115;message_0335;message_0050
sample_msg_046,notify,event,Event or schedule update needing action from group admin: School circular attached. Please check the timing and consent note.,0.7514,message_0403;message_0051;message_0255
sample_msg_047,mute,promotion,Promotional message from sender user typically dismisses (100% dismiss rate) from business account,0.9061,message_0402
sample_msg_048,digest,business_update,"Non-urgent business update for later review from business account: Dear Customer, Safety advisory image attached. The brand says they never ask...",0.8441,message_0412
sample_msg_049,digest,unknown,"Casual greeting with no action required from u_049: Hi, I found your number on the volunteer sheet. Are you still coordinating...",0.95,none
sample_msg_050,digest,personal,"Sender explicitly indicated non-urgent — safe for later review from u_041: Reached home and had dinner. Don't call now, phone is charging. We can talk...",0.82,message_0054;message_0359;message_0226
sample_msg_051,notify,urgent,Time-critical message requiring immediate action from u_046: Can you come online now? Retry count crossed the alert threshold and escalation...,0.87,message_0228;message_0362;message_0055
sample_msg_052,mute,scam,Potential scam or router-manipulation attempt blocked from u_049,0.85,message_0238
sample_msg_053,mute,scam,Blocked by security guardrail: prompt injection or router-manipulation attempt detected.,0.99,none
